query,runs,time,no_of_blocks,agg_cardinality,entities_in_blocks,detected_duplicates,PC,PQ,entities,blocking_time,query_blocks,purge_blocks,filter_blocks,ep_blocks,meta_blocking_time,comparison_time,total_dedup_time
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 20) < 1",5,5.8922,18126,126281,38996,1079,0.991727941,0.008544437,11448,1.6196,18146,18126,18126,1.8278,38996,0.7746,4.9812
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 10) < 1 ",5,5.2264,28837,114024,40421,2093,0.991473235,0.018355785,11448,1.2974,28864,28837,28837,1.7932,40421,1.2988,5.1366
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 6.6) < 1",5,4.986,40440,104343,41564,4359,0.995660119,0.041775682,17333,1.5196,40474,40440,40440,1.227,41564,1.5698,4.9386
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 5) < 1 ",5,5.4432,45131,101013,42109,4195,0.993369642,0.041529308,22892,1.4586,45164,45131,45131,1.301,42109,1.8426,5.4026
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 4) < 1",5,8.875,51632,96887,42581,5259,0.993764172,0.054279728,28656,2.422,51674,51632,51632,1.9046,42581,3.1994,8.815
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 3.3) < 1  ",5,7.9146,57799,92757,42961,6546,0.994681659,0.070571493,34635,2.2408,57847,57799,57799,1.413,42961,3.4938,7.8398
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 2.85) < 1",5,7.1976,63672,90302,43657,7960,0.992518703,0.088148657,40083,2.037,63727,63672,63672,1.7096,43657,2.7176,7.1576
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 2.5) < 1  ",5,11.6016,66019,89277,43685,8050,0.992846571,0.0901688,45796,3.2234,66076,66019,66019,2.6284,43685,4.8766,11.5606
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 2.22) < 1",5,9.5484,70257,87151,44093,9098,0.992256517,0.104393524,51574,2.763,70314,70257,70257,1.5636,44093,4.5032,9.5168
"SELECT DEDUP * FROM synth.people_full100k WHERE MOD(rec_id, 2) < 1 ",5,13.6774,72836,85860,44170,9588,0.991520165,0.111670161,57211,4.212,72899,72836,72836,1.6588,44170,6.847,13.6254
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 20) < 1",5,0.9902,4220,49164,11429,199,0.301515152,0.004047677,2763,0.268,4270,4220,4220,0.2478,11429,0.1488,0.9584
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 10) < 1 ",5,1.0258,6941,43260,12805,403,0.302779865,0.009315765,5531,0.337,7018,6941,6941,0.1868,12805,0.2624,0.9936
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 6.6) < 1",5,1.4128,9659,39716,13815,748,0.313626834,0.018833719,8391,0.4232,9787,9659,9659,0.2506,13815,0.4652,1.3842
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 5) < 1 ",5,2.0192,11115,38168,14229,849,0.311217009,0.022243764,11090,0.6634,11257,11115,11115,0.2936,14229,0.771,1.9884
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 4) < 1",5,1.7284,12838,36420,14585,1071,0.311608961,0.029406919,13863,0.609,12998,12838,12838,0.2176,14585,0.604,1.687
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 3.3) < 1  ",5,1.8782,14765,34940,15071,1490,0.316415375,0.042644533,16759,0.7298,14984,14765,14765,0.1728,15071,0.6356,1.837
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 2.85) < 1",5,1.9386,16234,34153,15484,1852,0.314751869,0.054226569,19463,0.5304,16506,16234,16234,0.164,15484,0.945,1.913
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 2.5) < 1  ",5,2.1696,16632,33741,15392,1606,0.308312536,0.047597878,22160,0.6316,16900,16632,16632,0.2216,15392,1.0296,2.1428
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 2.22) < 1",5,4.2894,17811,32638,15650,2009,0.309172053,0.061554017,24927,1.0002,18128,17811,17811,0.277,15650,2.6826,4.2484
"SELECT DEDUP * FROM synth.orgs_with_dups WHERE MOD(rec_id, 2) < 1 ",5,2.8636,18328,32695,15675,1890,0.303809677,0.057807004,27710,1.0358,18622,18328,18328,0.2074,15675,1.328,2.8372
