query,runs,time,no_of_blocks,agg_cardinality,entities_in_blocks,detected_duplicates,PC,PQ,entities,blocking_time,query_blocks,purge_blocks,filter_blocks,ep_blocks,meta_blocking_time,comparison_time,total_dedup_time
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 20) < 1",5,6.2294,9878,404112,47839,490,0.976095618,0.001212535,3343,0.6712,9890,9878,9878,2.437,47839,1.345,5.2042
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 10) < 1 ",5,4.976,15002,329390,47657,933,0.97492163,0.002832509,6687,0.4896,15018,15002,15002,1.7588,47657,2.2004,4.9096
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 6.6) < 1",5,6.745,18806,301832,47441,1518,0.97370109,0.005029288,10133,0.6126,18823,18806,18806,1.96,47441,3.456,6.6724
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 5) < 1 ",5,6.6696,21721,284091,47324,1800,0.971397733,0.006335998,13375,0.7482,21743,21721,21721,1.7734,47324,3.705,6.6352
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 4) < 1",5,9.2096,23938,271782,47160,2338,0.972950479,0.008602483,16719,0.9632,23957,23938,23938,1.883,47160,5.6678,9.1594
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 3.3) < 1  ",5,8.943,26135,263064,47090,2714,0.970325349,0.010316881,20266,0.8854,26163,26135,26135,1.6538,47090,5.9114,8.9042
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 2.85) < 1",5,9.8608,27731,255618,47035,2989,0.9732986,0.01169323,23466,1.096,27756,27731,27731,1.7104,47035,6.4376,9.826
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 2.5) < 1  ",5,9.6978,29169,251258,46846,3251,0.968712753,0.012938891,26751,0.9668,29201,29169,29169,1.5466,46846,6.7042,9.669
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 2.22) < 1",5,16.558,30382,247058,46826,3638,0.9698747,0.014725287,30125,1.7342,30417,30382,30382,2.3488,46826,11.7782,16.5028
"SELECT DEDUP * FROM DIRTY.publications WHERE MOD(id, 2) < 1 ",5,11.4428,31374,245198,46810,3916,0.970748637,0.015970766,33439,1.1876,31401,31374,31374,1.6838,46810,8.0748,11.4108
