EURONOVIA,1
INTE:LIGAND SOFTWARE-ENTWICKLUNGS- UND CONSULTING GMBH,1
Nautilus UK,1
STMICROELECTRONICS DESIGN AND APPLICATION SRO,1
N. BENASEDO SPA,1
Vignaioli Piemontesi S.C.A,1
Institute of Biophysics of Siberian Branch of Russian Academy of Sciences,1
VEKOPOULOS I. - MAGKRIOTIS D. KAI SIA OE,1
Bayer Animal Health GmbH,1
THE UK HEALTH   ENVIRONMENT RESEARCH INSTITUTE,1
Monsanto Holland BV,1
STEINBEIS-HOCHSCHULE-BERLIN GMBH,1
EPITHELIX SARL,1
TIMENCO,1
RADIALL,1
ANALISI DEI RISCHI INDUSTRIALI E AMBIENTALE,1
AMPTEC GMBH,1
EON DEVELOPMENT AB,1
FUNDACION EDUCACION PARA EL EMPLEO,1
GENERAL EQUIPMENT FOR MEDICAL IMAGING SA,1
SYMFILIOSI,1
IBERDROLA SA,1
BONATRE,1
INSTEAD  TECHNOLOGIES FOR HELPING PEOPLE SL,1
EUROPEAN BRAIN RESEARCH INSTITUTE R ITA LEVI-MONTALCINI FONDAZIONE EBRI,1
INFINERA LIMITED,1
OBERMEYER PLANEN + BERATEN GMBH,1
DEIMOS ENGENHARIA S.A.,1
INSTYTUT OPTYKI STOSOWANEJ,1
PORO I NORRLANGTRASK AB,1
PLASTOD S.P.A.,1
ARGUSI BV,1
HEAT TRANSFER SYSTEMS LIMITED,1
RED DOG GRAPHICS LIMITED,1
COMSEC ERMITTLUNGSDIENSTE G.FRAU KG,1
UNION EUROPEENNE DES AVEUGLES UEAASSOCIATION,1
MARVELL ITALIA SRL,1
DIETHNES PANEPISTIMIO ELLADOS,1
European Society for Therapeutic Radiology and Oncology,1
NATEX PROZESSTECHNOLOGIE GESMBH,1
MEYERS PORTEFOLJE APS,1
C.F.K. CNC-Fertigungstechnik Kriftel GmbH,1
THE GERMAN MARSHALL FUND OF THE UNITED STATES - A MEMORIAL TO THE MARSHALL PLAN,1
KELDA GROUP PLC,1
NOLDUS INFORMATION TECHNOLOGY BV,1
ACETILENE   GASTECNICI DI BAGNOLI MARIA   C. SAS,1
VEGA MAYOR SL,1
DELFMEMS SAS,1
Asociatia Romana a Carnii,1
V.E. ZUEV INSTITUTE OF ATMOSPHERIC OPTICS OF SIBERIAN BRANCH OF RUSSIAN ACADEMY OF SCIENCES,1
Department of Health  Social Services and Public Safety,1
CENTRUM DOPRAVNIHO VYZKUMU v.v.i.,1
FAKULTNI NEMOCNICE V MOTOLE,1
GRUENE-BIORAFFINERIE.AT GMBH,1
SCHUNK GMBH   CO KG SPANN- UND GREIFTECHNIK,1
CERATEC TECHNISCHE KERAMIEK BV,1
PRODESO ENSINO PROFISSIONAL LDA,1
TEN CATE SYSTEMS BV,1
PRODUCTSCHAP VIS,1
E TRAVEL PAROCHIS DIADIKTYAKON TOURISTIKON KAI TAXIDIOTIKON YPRESION AE,1
CUSTOMAX BV,1
Stichting Peer to Peer Alternatives,1
CABA-BLIND ANTRIEBSAGGREGATE GMBH,1
CENTER ODLICNOSTI NIZKOOGLJICNE TEHNOLOGIJE ZAVOD,1
CREARA CONSULTORES SL,1
DESIGN AND REUSE,1
HASHEMITE UNIVERSITY,1
LAMA DEVELOPMENT AND COOPERATION AGENCY SOCIETA COOPERATIVA,1
LEIBNIZ-INSTITUT FUR NUTZTIERBIOLOGIE,1
LONDON   PARTNERS LBG,1
Tramwaje Warszawskie Sp. z o.o.,1
LABORATORIO ELEA SOCIEDAD ANONIMA COMERCIAL  INDUSTRIAL  FINANCIERA Y AGROPECUARIA,1
Closed Joint Stock Company Scientific and Technical Center Vladipor,1
VELINDRE NATIONAL HEALTH SERVICE TRUST,1
BAUHAUS LUFTFAHRT EV,1
INFORSENSE LIMITED,1
MATERIALS SCIENCE INSTITUTE SOLAR PHYSICS RESEARCH   DEVELOPMENT ASSOCIATION - INSTITUTE OF MATERIAL SCIENCES SCIENTIFIC PRODUCTION ASSOCIATION,1
INSTALACIONES MORAGAR SL,1
RENA GMBH,1
SILK PROGRESS SPOL RO,1
UNIVERSITE DE TOULON,1
University Centre in Svalbard,1
K.MET AS,1
Framtidarorka ehf,1
BOOZ   COMPANY BV,1
Silicon Biosystems S.p.A.,1
Municipality of Kocani,1
OWL BIOMEDICAL INC,1
KNOWLEDGE INTEGRATION LTD,1
Jan-Willem Terink,1
VyCAP BV,1
INTEGRATION TECHNOLOGY LTD,1
STUCKY SA,1
INSTITUTE OF SOCIOLOGY OF THE ACADEMY OF SCIENCES OF THE CZECH REPUBLIC PUBLIC RESEARCH INSTITUTION,1
PARDAM SRO,1
ADAPT IT AE,1
HOCHSCHULE ANHALT,1
SISTEMAS ESPECIALIZADOS PARA AGUA SA DE CV,1
AGENCIA DE SERVICIOS SOCIALES Y DEPENDENCIA DE ANDALUCIA,1
DIAKONHJEMMETS HOGSKOLE,1
Neopost Technologies B.V.,1
CENTRE FOR DEVELOPMENT ECONOMICS SOCIETY,1
VAXJOBOSTAADER AB,1
Damill AB,1
REGIONFORBUNDET UPPSALA LAN,1
ASCI SYSTEMHAUS GMBH,1
ALPHA CONSULTING SERVICE SRL,1
National Micoelectronics Institute,1
F.I.R.M.O. - FONDAZIONE RAFFAELLA BECAGLI - ONLUS,1
THE ROYAL ALEXANDRA HOSPITAL FOR CHILDREN,1
Cadpeople A/S,1
FUNDACIO PRIVADA INSTITUT DE RECERCA BIOMEDICA IRB,1
JERNHUSEN AB,1
ENVISCOPE GMBH  MESSTECHNIK FUER UMWELTFORSCHUNG,1
KYY GAMES OY,1
TECNICAS DEL AGUA UREN SL,1
The Tile Studio Ltd,1
SPINTEC ENGINEERING GMBH,1
Imprima Construction Cz a.s.,1
HERAEUS CLEVIOS GMBH,1
BSF SWISSPHOTO GMBH,1
Sihanouk Hospital Corporation,1
AVIATION DESIGN SARL,1
Halcrow Group Limited,1
STICHTING HIV MONITORING,1
Ashok Leyland Ltd,1
ASSOCIAZIONE PROVINCIALE DEGLI INDUSTRIALI DI VIBO VALENTIA,1
ESPEN-LA SOCIETE EUROPEENNE DE NUTRITION CLINIQUE ET METABOLISME ASBL,1
OPGAL OPTRONICS INDUTRIES LTD,1
PORTENDO AB,1
MAROC NUMERIC CLUSTER,1
UNIVERSITE D EVRY-VAL D ESSONNE,1
