manufacturer,foundation,founder,location_city,industry,owner
corel corporation,1985,MichaelCowpland,"Ottawa,Ontario,Canada",SoftwarecomputerprogrammingProgramming,KohlbergKravisRoberts
canopus/grass valley,1959,,,Broadcasting,
sony creative software,2003,,"Middleton,Wisconsin",Software,Sony
activision,1979,DavidCrane(programmer)DavidCraneLarryKaplanAlanMiller(gamedesigner)AlanMillerBobWhiteheadJimLevy,,VideogameindustryVideogames,
ipswitch,1991,,,,
microsoft,,,,Unbulletedlist,
webroot software,1997,,,ComputerSecurityMobileSecuritySoftwareasaService,
punch software,1997,BrianFlemingChrisZimmermanBruceObergDarrellPlankTomSaxtonCathySaxton,"Bellevue,Washington",VideogameindustryVideogames,
freeverse software,,,,VideogameindustryVideogamesSoftwareindustrySoftware,
autodesk,1982,"JohnWalker(programmer)JohnWalker,DanDrake",,"Software,Media&Entertainment,Manufacturing&Industrialbioscience",
knowledge adventure,,,,VideogameindustryVideogames,
encore inc,,,"SanJose,California",SoftwareDevelopmentandDistribution,
emedia,2013,,,BroadcastTelevisionnetworktelevisionandRadionetwork,
quark inc,1981,TimGill MarkPope,"Denver,Colorado",Computersoftware,ParallaxCapitalPartners
sony online entertainment inc,,,,VideogameindustryVideogames,
sonicwall,1991,,,"Networksecurity,securityappliances,Internetsecurity,WANoptimization",FranciscoPartnersandElliottManagement
emc,1979,,"Hopkinton,Massachusetts RoundRock,Texas",ComputerdatastorageComputerstorage,
destineer inc,,PeterTamte,,VideogameindustryVideogames,
sony,1946,splainlist*MasaruIbuka*AkioMorita,,Conglomerate(company)Conglomerate,
nuance communications,1992,,,Software,
navarre distribution services,1983,EricH.Paulson,"Greenville,SC,NewYork,NY",Musicandfilmdistributionandpublishing,GeofLewisandPeterRichichi
kutoka interactive,,,"Montreal,Quebec","CD-ROMs,DVD-ROMs",
hummingbird ltd,1984,,,Computersoftware,
now software,,,,SoftwareEngineering,
enfocus,2002,,Ghent,Graphicarts,
abacus software,1983,JuddKessler,"SanDiego,CaliforniaCA",Software,
checkpoint zonelabs,1993,sGilShwed MariusNacht ShlomoKramer,,SecuritysoftwareComputerhardware,
computer associates,1976,sCharlesB.Wang RussellArtzt,,Enterprisesoftware,
aspyr media,,,,VideogameindustryVideogames,
iolo technologies,1979,,,Software,
palmspring software,2000,"AugustGrasisIII,DouglasEdwardsandJesseDevitte","KansasCity,Missouri",MobileApplications,
pinnacle systems,1986,"AjayChopra,RandallMoore,MirekJiricka",MountainView,,
broderbund,1980,,,,
computer associates,1976,sCharlesB.Wang RussellArtzt,,Enterprisesoftware,
kutoka,,,"Montreal,Quebec","CD-ROMs,DVD-ROMs",
disney,,sPlainlist*WaltDisney*RoyO.Disney,,Plainlist*Massmedia*Entertainment,
arc media inc.,,,,TelevisionProduction,
hummingbird communications,1984,,,Computersoftware,
microsoft,,,,Unbulletedlist,
webroot software,1997,,,ComputerSecurityMobileSecuritySoftwareasaService,
lotus development,1982,,,Computersoftware,
compaq computer,1982,RodCanion JimHarris(entrepreneur)JimHarris BillMurto,"HarrisCounty,TexasHarrisCounty,Texas",ComputerhardwareComputersoftware,
valusoft,,JackFriedman,,VideogameindustryVideogames,
smith micro software,1982,,"Pittsburgh,Pennsylvania,UnitedStates",Software,
knowledge adventure,,,,VideogameindustryVideogames,
thq,,JackFriedman,,VideogameindustryVideogames,
ibm,,CharlesRanlettFlintThomasJ.Watson,,,
sierra on-line,,KenWilliams(gamedeveloper)KenWilliamsRobertaWilliams,,VideogameindustryVideogames,
humongous entertainment,,UnbulletedlistRonGilbertShelleyDay,,VideogameindustryVideogames,
netgear,,,,Networkingequipment,
diskeeper corporation,1981,CraigJensen,,Computersoftware,
datawatch,1985,,"Bedford,MA",Computersoftware,
epson,1942,,"Suwa,Nagano",Electronics,
macsoft,,PeterTamte,,VideogameindustryVideogames,
emedia,2013,,,BroadcastTelevisionnetworktelevisionandRadionetwork,
write brothers,1982,,,Software/Entertainment,
sony creative software,2003,,"Middleton,Wisconsin",Software,Sony
absolute software,1993,,,Computersoftware,
red orb entertainment,1997,,,VideogameindustryVideogames,
sonicwall,1991,,,"Networksecurity,securityappliances,Internetsecurity,WANoptimization",FranciscoPartnersandElliottManagement
nuance communications inc.,1992,,,Software,
viva media,1987,,,Broadcasting,
destineer,,PeterTamte,,VideogameindustryVideogames,
digital praise,,,"Newark,California",,
hewlett packard,1939,sublBillHewlettDavidPackard,,ComputerhardwareSoftwareComputersoftwareITservicemanagementITservicesInformationtechnologyconsultingITconsulting,
avanquest,1999,,,,
dvo enterprises,,,,Armsindustry,MinistryofDefence(Vietnam)VietnameseMinistryofDefence
activision,1979,DavidCrane(programmer)DavidCraneLarryKaplanAlanMiller(gamedesigner)AlanMillerBobWhiteheadJimLevy,,VideogameindustryVideogames,
business objects,1990,,,Computersoftware,
watchguard technologies inc,1996,,"Seattle,Washington",Networksecurityandcomputersecurity,
adaptec,1981,LarryBoucher,,Computerstorage,
netmanage,1990,ZviAlon,"Cupertino,CaliforniaCupertino,California;",Software,
red hat software,,BobYoung(businessman)BobYoung MarcEwing,,Computersoftware,
cabletron systems,,CraigBenson<br>RobertLevine,,,
strategy first,,DonMcFatridgeSteveWallDaveHill,,VideogameindustryVideogames,
autodesk,1982,"sJohnWalker(programmer)JohnWalker,DanDrake",,"Software,Media&Entertainment,Manufacturing&Industrialbioscience",
blizzard entertainment,,AllenAdhamMichaelMorhaimeFrankPearce,,VideogameindustryVideogames,
eidos interactive,,MarkDouglasAshleyStrachanDominicMariusDennisAnthonyWheatley,,VideogameindustryVideogames,
borland international,1983,sNielsJensen OleHenriksen MogensGlad PhilippeKahn,,Computersoftware,
topware interactive,,,,VideogameindustryVideogames,
symantec corporation.,,GaryHendrix,,Computersoftware,
vivendi,,"NapoleonIII<refname""vivendiabout"">citeweburlhttp://www.vivendi.com/en/vivendi-en/our-history/the-groups-origins/titleThegroup'soriginspublisherVivendiaccessdate12March2017</ref>",,Massmedia,Bolloréfamily(30%votingpower)
lenovo,1984,LiuChuanzhi,,ComputerhardwareElectronics,LegendHoldings(30.6%)
lotus development corp,1982,,,Computersoftware,
nortel,,,,unbulletedlistTelecommunicationsNetworkingequipment,
microsoft corporation,,,,Unbulletedlist,
watchguard license,,,,nowrapTelecommunicationsequipment,
sierra home,,KenWilliams(gamedeveloper)KenWilliamsRobertaWilliams,,VideogameindustryVideogames,
