id_d, id_s
196608,96607
131074,31074
131075,31074
163847,63847
163848,63847
163849,63847
163853,63853
196622,96622
145121,45121
131101,31101
131102,31101
131103,31101
163875,63875
163876,63875
163880,63880
163881,63880
163882,63880
196651,96650
131128,31128
131129,31128
104748,4748
163899,63899
163900,63899
163901,63899
125621,25621
196675,96675
196676,96675
125622,25621
131145,31145
131146,31145
131147,31147
131158,31158
145123,45123
196696,96696
196702,96702
196703,96702
196704,96702
196705,96703
158868,58868
163951,63951
163952,63951
163953,63951
147475,47475
163961,63961
163962,63961
131195,31195
174784,74784
174785,74784
163976,63976
163977,63976
196746,96746
196747,96746
195530,95530
144034,44033
142943,42942
131227,31227
131228,31227
196768,96768
196769,96768
164002,64000
164010,64010
164011,64010
196781,96781
164014,64014
164015,64014
164016,64014
196785,96785
196786,96785
196787,96785
131252,31250
131253,31252
180255,80255
164032,64032
164033,64032
123304,23303
164036,64036
164037,64036
196806,96806
196807,96807
196808,96807
169335,69335
169336,69335
164055,64055
164060,64060
164061,64060
198593,98592
196838,96838
196839,96838
164072,64072
158418,58418
131311,31311
196848,96848
196849,96848
131314,31312
131315,31314
164084,64082
131317,31316
131318,31316
131319,31319
131320,31319
196650,96650
109269,9269
131329,31329
131330,31329
164099,64099
196869,96869
196870,96869
164103,64103
196873,96873
125656,25656
125657,25656
196904,96904
164139,64139
196919,96919
131385,31385
164156,64156
131392,31392
131393,31392
196932,96932
131397,31397
196934,96934
131399,31399
131401,31401
164175,64175
164176,64175
164178,64178
164179,64178
164187,64187
196956,96956
196957,96956
185744,85743
164197,64197
164198,64197
164199,64197
131435,31435
103826,3826
196974,96974
196975,96974
103827,3826
164212,64211
164213,64211
164215,64215
164216,64215
131449,31449
131450,31449
164220,64220
164227,64227
164228,64227
164229,64227
196998,96998
131472,31472
163907,63907
125678,25677
152985,52985
163908,63907
197018,97018
197019,97018
131484,31483
164253,64253
163909,63907
142065,42065
164265,64265
164266,64265
131499,31498
131500,31498
174834,74833
164280,64280
197049,97048
197050,97048
164283,64283
197056,97056
164289,64289
164290,64289
131526,31526
197063,97063
197064,97063
174839,74839
131533,31533
164317,64317
164318,64317
164319,64317
131553,31553
131554,31553
131555,31553
164324,64322
131558,31558
197099,97099
197100,97099
180306,80306
103848,3847
131571,31571
131572,31571
136617,36616
197112,97112
197115,97115
197116,97115
197117,97115
197118,97118
131585,31585
131586,31586
131587,31585
164356,64355
125697,25697
131595,31595
131596,31595
125698,25697
189874,89873
164370,64370
164371,64370
197140,97140
164374,64374
164375,64374
164378,64378
103855,3855
158469,58468
103856,3855
131618,31617
131620,31620
164396,64396
164397,64397
164398,64397
164401,64401
164402,64401
136627,36626
164412,64412
164413,64412
197183,97183
197184,97183
164417,64417
164418,64417
131655,31655
164424,64424
164425,64424
197194,97193
164433,64433
164434,64433
131673,31673
131674,31673
131675,31673
164444,64444
148833,48831
136176,36176
164456,64456
164459,64459
197228,97228
167164,67162
169405,69405
164464,64464
164465,64464
164466,64464
131701,31701
131702,31701
131703,31701
164472,64472
164473,64472
131710,31710
131711,31710
164484,64484
164485,64484
164486,64486
164487,64486
122228,22228
190296,90296
164492,64492
153026,53026
131726,31726
164495,64495
131728,31726
131731,31731
197268,97268
131736,31736
164506,64506
180335,80334
131742,31742
131743,31742
164512,64512
164513,64512
197283,97283
197284,97283
197285,97285
164518,64518
147569,47568
197289,97289
197290,97290
197291,97290
170285,70285
164532,64532
164533,64532
164534,64532
131768,31768
131769,31768
197309,97309
197310,97309
131775,31775
131776,31775
131777,31775
131778,31777
114592,14592
