id_d, id_s
131072,31071
191601,91601
196617,96617
196618,96617
163862,63862
185689,85689
131102,31102
131103,31102
163872,63871
174768,74767
196646,96646
131111,31111
131112,31111
131115,31115
131117,31117
125619,25619
163892,63892
163893,63892
163897,63897
163898,63897
163899,63897
196668,96668
196669,96668
180236,80236
163916,63916
196685,96685
180237,80236
196691,96691
196693,96693
196694,96693
196695,96693
131161,31161
131162,31161
131163,31161
163937,63937
163938,63937
131182,31182
131183,31182
131192,31192
131193,31192
196730,96729
151671,51670
163964,63962
163965,63965
131198,31198
131199,31199
196743,96743
196744,96743
196745,96743
137264,37262
131213,31213
131214,31213
131216,31216
131217,31216
131218,31216
148197,48197
131221,31221
131222,31221
131223,31221
196761,96761
116756,16756
191173,91172
131232,31232
131233,31232
196770,96770
164005,64005
164006,64005
131240,31240
196777,96777
196778,96777
196779,96777
196782,96782
164018,64018
164026,64026
163871,63871
196800,96800
131265,31265
164034,64034
164038,64038
164039,64038
196809,96809
185719,85719
196813,96813
196814,96813
196817,96817
196818,96817
109262,9262
150583,50582
196826,96826
131291,31291
131292,31291
131293,31291
131296,31296
131297,31296
196836,96836
196837,96836
196838,96836
129852,29851
131304,31304
131305,31305
196843,96843
196844,96844
196845,96844
196846,96844
102574,2572
131312,31312
131313,31312
164083,64083
136574,36573
196857,96857
196858,96857
196859,96857
131330,31330
131331,31330
164103,64103
164104,64103
196873,96873
196874,96873
164107,64106
196876,96876
131342,31342
196879,96879
168043,68043
196884,96884
196885,96884
131351,31351
115669,15668
131355,31355
196894,96894
164132,64132
180273,80273
196904,96903
164137,64137
164138,64137
152967,52966
196910,96910
196911,96910
131388,31388
131389,31388
131390,31388
164163,64163
131396,31396
131397,31396
164170,64170
164171,64170
131404,31404
131409,31409
131410,31409
164181,64181
164182,64181
164183,64181
164185,64185
198597,98595
120207,20206
164188,64188
164189,64188
164190,64188
120208,20206
164194,64193
196966,96966
196969,96969
196970,96969
131435,31435
131436,31435
131437,31435
164208,64208
164209,64208
114750,14750
196988,96988
196989,96988
191211,91210
191212,91210
164235,64235
131468,31468
131469,31469
131470,31469
197013,97013
131478,31478
131479,31478
164255,64255
131490,31490
131491,31490
131492,31490
197031,97031
164267,64267
164268,64267
174834,74834
164270,64269
197039,97039
197040,97039
197041,97040
197044,97044
197045,97044
197046,97044
164280,64280
197049,97049
197050,97049
164283,64283
197056,97056
197057,97056
164290,64290
164291,64290
131524,31522
164293,64293
197062,97061
197063,97061
125495,25495
197066,97066
197067,97066
197068,97066
197069,97069
197070,97069
197071,97069
164304,64304
164305,64304
197080,97080
197082,97082
197083,97082
197084,97082
131549,31549
131550,31549
152997,52997
164321,64321
164322,64321
152998,52997
197095,97095
197097,97097
197098,97097
164331,64331
164332,64331
114771,14771
197119,97119
197120,97119
131587,31587
131588,31587
131589,31588
131590,31588
197127,97127
164360,64360
131593,31592
131594,31592
131595,31593
109314,9313
153005,53004
197139,97139
120238,20238
164384,64384
197155,97155
131620,31620
131621,31620
164396,64396
197165,97165
197166,97165
125704,25704
197178,97178
197179,97178
131644,31644
131645,31644
164414,64414
131647,31646
197184,97184
197185,97184
164421,64421
164422,64421
131655,31655
131656,31655
131657,31655
145355,45354
164432,64432
131667,31667
131668,31667
131669,31669
131670,31669
131671,31669
183330,83330
131689,31689
131690,31689
131691,31689
131696,31696
131697,31696
164466,64466
164467,64466
164468,64468
164469,64468
164470,64468
131703,31702
164473,64473
164474,64473
164475,64473
197244,97244
197245,97244
197246,97244
164479,64479
164480,64479
197250,97250
197251,97251
197253,97253
197254,97254
161508,61508
156053,56051
164489,64489
131722,31722
131724,31724
131725,31724
153027,53027
197269,97269
197270,97269
197271,97269
131736,31736
131737,31736
197281,97281
197282,97281
