id_d, id_s
131072,31072
131073,31072
163842,63842
163843,63842
163847,63847
163848,63847
163849,63847
196618,96617
196619,96617
131088,31088
196627,96627
196628,96627
196630,96630
136537,36537
163864,63864
163865,63864
163866,63864
145121,45121
131112,31112
163881,63881
163882,63881
131079,31079
173491,73489
163888,63888
163889,63888
196617,96617
196664,96664
125620,25618
196666,96664
103775,3773
163902,63902
163903,63902
163904,63904
114699,14699
131140,31140
174774,74773
131142,31140
196679,96679
196680,96679
114700,14699
163917,63917
131161,31161
131162,31161
163934,63934
163935,63934
196704,96703
152934,52933
131174,31173
131175,31175
131185,31185
131186,31185
131187,31185
131190,31190
131191,31190
131192,31192
131193,31193
131194,31193
131196,31196
131197,31196
183964,83964
163967,63967
136556,36555
196746,96746
196747,96747
196748,96747
163981,63981
131214,31214
131215,31214
196760,96760
163993,63993
163994,63993
163995,63993
174789,74789
164002,64002
174790,74789
131239,31239
131240,31239
164014,64014
164015,64014
164016,64014
158408,58408
164018,64018
164019,64018
158409,58408
131258,31258
131259,31258
164028,64028
164029,64028
164039,64039
164040,64039
164044,64044
164045,64044
131278,31278
131279,31278
131280,31279
196820,96820
196826,96826
164062,64062
164063,64062
196832,96832
133773,33771
131300,31300
131304,31304
164073,64073
196849,96849
196850,96849
131315,31315
196855,96855
196856,96855
196857,96856
199685,99684
113486,13486
164102,64102
196872,96872
196873,96872
196879,96879
131346,31346
131347,31346
155814,55814
164117,64117
164119,64119
113487,13486
174811,74810
131364,31364
131365,31364
195322,95320
196915,96915
196916,96915
109278,9278
196923,96923
196924,96923
196925,96923
158432,58431
103819,3818
158433,58431
103820,3818
164172,64172
131405,31405
131406,31405
164182,64182
196665,96664
131417,31417
131418,31417
164189,64189
164190,64189
164196,64196
164197,64196
186595,86595
147517,47517
196978,96978
196979,96978
164212,64212
164213,64212
123310,23309
131135,31135
164222,64222
164223,64222
196994,96994
196995,96994
186596,86595
197004,97004
197005,97004
197007,97007
131472,31472
131473,31472
131480,31480
131481,31480
197018,97018
197019,97018
131141,31140
197025,97025
197026,97025
186597,86595
164263,64263
164264,64263
131502,31502
185757,85757
164276,64276
164277,64276
164278,64276
196681,96681
197050,97050
135302,35302
147530,47529
125685,25685
197056,97055
164290,64290
164291,64291
164292,64291
164293,64293
164294,64293
164295,64293
164298,64298
164299,64298
197074,97074
197075,97074
164308,64307
164313,64313
103845,3844
164331,64331
164332,64331
197101,97099
164335,64335
197106,97106
197107,97106
197511,97509
164341,64341
164342,64342
120233,20233
131576,31576
131577,31577
131578,31577
120041,20040
197119,97119
197120,97119
197121,97119
131588,31588
131589,31588
131590,31588
164366,64366
164374,64374
197143,97143
197144,97143
197149,97149
164386,64386
164387,64386
164388,64386
164391,64391
197160,97160
148412,48412
169394,69393
131630,31630
131631,31631
131632,31630
164403,64403
196703,96703
125706,25706
131650,31650
131651,31650
197188,97188
197189,97188
197194,97194
197195,97195
164428,64428
164435,64435
164436,64436
131674,31674
131675,31674
131173,31173
164448,64448
197219,97219
197220,97219
131688,31688
131689,31688
197231,97231
197232,97231
197233,97231
131699,31699
131700,31699
131701,31699
131708,31708
153024,53024
149506,49505
131715,31715
131716,31715
153025,53024
153026,53024
164498,64498
164499,64498
144051,44051
131736,31736
131737,31736
131738,31737
147567,47567
131740,31740
131741,31740
131742,31740
164519,64519
101697,1697
164524,64524
164525,64525
164526,64525
164527,64525
164531,64531
164532,64531
164534,64534
185801,85800
131768,31768
164538,64538
131778,31778
131779,31778
164553,64553
164554,64554
131789,31789
131790,31789
164559,64558
164560,64558
169149,69147
169422,69422
164566,64566
197338,97338
197339,97338
197340,97338
164573,64572
164574,64572
131807,31807
131808,31808
131809,31808
197346,97346
131811,31811
129869,29868
197354,97354
197355,97354
131822,31822
131823,31822
131824,31822
192479,92479
164605,64605
164611,64611
164612,64611
131846,31846
131847,31846
131848,31846
131849,31849
197386,97386
197387,97386
164621,64621
164622,64621
197395,97395
108048,8048
131864,31864
131865,31864
158511,58511
197405,97405
