id_d,id_s
65538,19438
65539,19438
65542,19442
65543,19442
65544,19443
65550,19450
65555,19455
65567,19467
65580,19480
65591,19491
65592,19491
65603,19503
65604,19503
65618,19518
65622,19522
65623,19522
65625,19525
65626,19525
65645,19545
65646,19545
65647,19546
65675,19575
65679,19579
65680,19579
65681,19579
65686,19586
65687,19586
65688,19586
65689,19589
65690,19589
91437,45337
65700,19599
65702,19602
65703,19602
65704,19602
65705,19605
65706,19606
65707,19606
65719,19619
65720,19619
65721,19621
65725,19625
65726,19625
65735,19635
65753,19653
65784,19684
65796,19696
65797,19697
87425,41325
65809,19709
65810,19709
65820,19720
65821,19720
75071,28971
89483,43383
65854,19754
65863,19763
65864,19763
65893,19793
65894,19793
65895,19793
65896,19796
65897,19796
65913,19813
65918,19818
65922,19822
57489,11389
65929,19829
49218,3118
65936,19836
65939,19839
65940,19839
87451,41350
65959,19859
65960,19859
65961,19861
65970,19870
65971,19870
65977,19877
65978,19877
65989,19889
65990,19889
65995,19895
65996,19895
65997,19895
66001,19901
66002,19901
66009,19909
66010,19910
66011,19910
66012,19910
66016,19916
66028,19928
66029,19928
66032,19932
66033,19932
87465,41364
66047,19947
66048,19947
66058,19958
66062,19962
66077,19977
66078,19977
66079,19979
66080,19979
66089,19989
66104,20004
66105,20004
66112,20012
66113,20012
66114,20012
66119,20019
66150,20050
66151,20050
66152,20050
66155,20055
66156,20055
66165,20065
87488,41388
66183,20083
66184,20084
66185,20084
66186,20085
66211,20111
66217,20117
66242,20142
66243,20143
66244,20143
66247,20147
66248,20147
54732,8632
66256,20156
66274,20174
66284,20184
66291,20191
66292,20191
66299,20199
66300,20199
66301,20199
66308,20208
66309,20208
66311,20211
66312,20211
66313,20211
66333,20233
66338,20238
66339,20238
66372,20272
66373,20272
66377,20277
66378,20277
66382,20282
66383,20282
66384,20282
66391,20291
66392,20291
66422,20322
66423,20322
66424,20322
66440,20340
66444,20344
66462,20362
66467,20367
66468,20367
66469,20367
66480,20380
66481,20380
66483,20383
66484,20383
66485,20385
66491,20391
66492,20391
66496,20396
66497,20396
66498,20396
65699,19599
66533,20433
