id_d,id_s
524301,14807
524302,14807
524306,14812
524307,14812
1004889,495394
524315,14821
524329,14835
524330,14835
524334,14840
786479,276985
786480,276985
786481,276985
786491,276997
786505,277011
786511,277017
786512,277017
524370,14876
567993,58497
524377,14883
524378,14883
524379,14883
699066,189572
524382,14888
524383,14889
524384,14889
524385,14889
524386,14892
524387,14892
524388,14892
524389,14895
524390,14895
524391,14895
786547,277053
786548,277053
786549,277055
786550,277055
786551,277055
524410,14916
524411,14917
524412,14917
786557,277063
786558,277063
524415,14919
786564,277070
917529,408035
524450,14956
524451,14957
524452,14956
524458,14964
524459,14964
961224,451730
961225,451730
524476,14982
524477,14982
1004917,495423
917536,408042
524483,14989
524484,14989
1004918,495423
524488,14994
524489,14994
786640,277146
786641,277147
786642,277147
786643,277147
524502,15008
524503,15008
786648,277154
524507,15013
786665,277171
786666,277171
524524,15030
786671,277177
786672,277177
786673,277177
524530,15036
786675,277181
786676,277181
786677,277181
786685,277191
786689,277195
786702,277208
524566,15072
786712,277218
786713,277218
786714,277218
524571,15077
524575,15081
524576,15081
786722,277228
786723,277228
786724,277228
786725,277231
786726,277231
786727,277231
524584,15090
524585,15090
786731,277237
524589,15095
524590,15095
677371,167877
524594,15100
786739,277244
786740,277244
524598,15104
524599,15104
917558,408064
786764,277270
786765,277271
786766,277271
786770,277276
786771,277276
524628,15134
786785,277291
786787,277293
524646,15152
1004945,495450
524654,15160
524655,15161
524656,15161
524657,15161
786807,277313
786808,277313
524671,15177
524672,15177
786817,277323
786818,277324
786819,277324
830188,320693
742807,233313
917570,408076
786832,277338
786833,277338
786834,277338
524694,15200
524695,15200
786840,277346
786843,277349
786844,277349
786846,277352
786847,277352
524707,15213
524708,15213
524709,15213
524710,15216
524711,15216
786858,277364
786859,277364
978694,469199
786861,277367
630233,120739
524723,15229
524724,15229
524725,15229
786877,277383
786878,277383
524736,15242
524737,15242
524738,15242
786883,277388
524742,15248
524743,15248
524744,15248
524745,15249
786890,277395
524747,15253
524748,15253
524749,15255
524760,15266
524761,15266
537007,27513
786909,277415
786910,277415
786911,277415
961275,451781
786916,277422
655441,145947
786920,277426
786923,277429
786924,277429
524781,15287
524782,15287
524783,15287
786928,277433
786929,277433
786931,277437
786932,277437
786933,277437
786935,277441
786936,277441
961280,451784
524803,15309
524804,15309
961281,451787
786958,277464
786959,277464
786960,277465
524817,15322
786962,277468
524826,15332
524827,15332
524828,15332
786973,277479
786974,277480
786975,277479
524833,15339
786978,277484
786979,277484
786980,277484
961286,451792
961287,451793
786988,277494
786989,277494
786525,277031
786993,277499
786526,277031
524858,15364
524859,15365
787006,277512
524864,15370
524865,15370
524870,15376
524871,15376
787016,277521
524873,15379
524874,15379
524876,15382
524888,15394
787035,277541
787036,277541
787040,277546
787041,277546
787042,277546
524903,15409
787049,277555
787050,277555
759447,249952
524921,15427
524922,15428
787070,277576
787071,277576
787072,277576
602325,92830
524935,15441
524940,15446
524941,15446
787092,277598
655470,145976
787094,277600
524954,15460
655471,145976
524956,15462
524957,15462
524958,15464
524959,15464
524962,15468
787107,277613
787108,277613
524965,15470
524966,15470
787114,277620
787115,277620
787116,277620
524988,15494
524989,15494
787134,277639
787135,277639
525009,15515
787162,277668
525020,15526
525021,15526
525022,15526
830245,320750
525025,15531
525026,15531
750722,241226
787176,277682
787181,277687
787182,277687
787183,277687
787185,277691
787188,277694
525045,15550
525046,15550
787198,277704
787199,277704
787200,277704
655488,145994
787202,277708
787203,277708
787204,277708
787205,277710
787206,277710
655489,145995
525077,15583
525078,15583
525079,15583
787226,277732
787227,277732
787231,277737
787232,277737
525089,15595
525094,15600
525095,15600
525097,15603
525098,15603
525099,15603
787253,277759
787254,277759
787265,277771
787266,277771
787267,277771
525128,15634
525129,15634
525130,15636
525136,15642
525137,15642
787282,277788
567416,57920
787290,277796
525152,15658
525159,15665
787304,277810
525161,15665
525163,15669
525168,15674
525169,15674
525172,15678
525173,15678
611817,102322
515043,5549
787328,277834
525185,15691
525186,15691
873963,364469
787333,277839
787334,277839
787337,277843
1005037,495543
525200,15706
525201,15706
525205,15711
525206,15711
525207,15711
787366,277872
787367,277872
787368,277872
525225,15730
