id_d,id_s
65537,19437
65538,19437
65539,19437
65542,19442
54615,8515
65549,19449
65550,19449
65551,19450
65562,19462
65567,19467
65568,19467
65577,19477
65581,19481
65582,19481
65606,19506
65607,19506
49164,3063
81933,35832
65626,19526
65627,19526
65641,19541
65645,19545
65646,19545
65648,19548
65649,19549
65653,19553
65654,19553
65655,19553
54634,8532
65666,19566
65667,19567
81942,35842
87404,41302
65679,19579
65680,19580
65683,19583
65684,19583
65685,19583
65693,19593
65694,19593
65741,19641
65742,19641
65751,19651
65752,19651
65757,19657
65758,19657
65759,19659
65760,19659
65763,19663
65764,19663
65765,19663
65769,19669
65772,19672
65773,19672
65778,19678
65779,19678
65780,19678
65793,19693
65794,19693
65795,19693
65800,19700
65801,19700
65802,19700
65811,19711
65814,19714
65818,19718
65821,19721
65822,19721
65841,19741
65842,19741
65853,19753
65854,19754
65857,19757
65858,19757
65859,19757
65870,19770
65871,19770
65894,19794
65911,19811
65912,19811
65913,19811
65923,19823
65924,19824
65925,19825
65926,19825
65927,19825
65930,19830
65938,19838
65939,19838
48023,1923
65949,19849
65955,19855
65958,19858
65964,19864
65978,19878
65979,19878
65984,19884
65987,19887
65988,19887
65996,19896
65997,19896
65998,19898
65999,19898
87459,41358
66010,19910
66011,19910
66012,19910
66013,19912
66014,19912
49232,3132
49233,3132
66024,19924
66025,19924
66033,19933
66044,19944
66045,19944
66049,19949
66056,19956
66057,19956
66064,19964
66065,19964
66069,19969
66070,19969
66072,19972
66073,19972
66074,19972
66095,19995
66098,19998
66099,19998
87476,41375
66127,20027
66134,20034
66135,20034
66148,20048
66149,20048
66151,20051
66152,20052
66160,20060
66161,20060
66173,20073
66174,20073
66183,20083
66184,20083
66185,20083
66186,20084
66187,20086
66203,20103
66204,20103
66205,20105
66221,20121
66222,20121
66223,20121
66224,20124
66227,20127
66236,20136
57943,11843
66242,20142
66244,20144
66245,20144
66257,20157
66258,20158
66259,20158
66269,20169
66270,20169
66298,20198
66299,20198
66300,20200
66301,20200
66302,20202
66303,20202
66314,20214
66315,20214
66316,20214
66319,20219
66320,20219
66327,20227
66328,20227
66332,20232
66333,20232
66334,20232
66335,20235
66336,20235
66337,20235
66359,20259
66364,20264
66365,20264
66366,20264
54584,8484
66377,20277
66378,20277
66379,20277
66380,20278
66381,20281
66392,20292
66393,20292
66426,20326
66447,20347
66448,20347
66449,20349
66451,20351
66452,20351
66458,20358
66459,20358
66460,20358
66465,20365
66466,20366
66467,20367
66475,20375
66482,20382
49310,3210
66486,20386
66487,20386
66488,20386
66491,20391
66492,20391
66493,20391
66494,20393
66504,20404
66505,20405
66508,20408
66512,20412
66513,20412
66514,20412
66529,20429
66539,20439
46952,850
66569,20469
66570,20469
66571,20470
66581,20481
66582,20481
66584,20484
66585,20484
66586,20484
66615,20515
66616,20515
66617,20517
66621,20521
66624,20524
66625,20524
82102,36001
66644,20544
66649,20549
66650,20549
66651,20549
49338,3238
66654,20554
66655,20555
66656,20555
49138,3037
66660,20560
66661,20560
66679,20579
66688,20588
66689,20588
66691,20591
66694,20594
66695,20595
66696,20594
66697,20596
66701,20601
66702,20601
66708,20608
66709,20608
66724,20624
66725,20624
66733,20633
66734,20633
66735,20633
66739,20639
57870,11770
66770,20670
66771,20670
66772,20670
66776,20676
66777,20676
66778,20678
66779,20678
66780,20680
66781,20680
66782,20680
66783,20683
66784,20683
66786,20686
66787,20686
51291,5191
66803,20703
66804,20704
66811,20711
66812,20711
66813,20711
66824,20724
66833,20733
66836,20736
66837,20736
66838,20736
66842,20742
66843,20742
66844,20742
66861,20761
66863,20763
66874,20774
66931,20831
66932,20831
66933,20831
66934,20834
66935,20834
66941,20841
66958,20858
66961,20861
66962,20861
66963,20863
66964,20863
66965,20863
66966,20865
66968,20868
66977,20877
66978,20877
66979,20877
66980,20880
66981,20880
66982,20880
66988,20888
66989,20888
66998,20898
66999,20898
67000,20898
67028,20928
67029,20928
67030,20928
67031,20930
67036,20936
67037,20936
67052,20952
67067,20967
67068,20967
67070,20970
67073,20973
67078,20978
67079,20978
46970,868
67093,20993
67104,21004
67108,21008
67123,21023
67124,21024
67126,21026
67127,21026
67128,21026
67136,21036
67138,21038
67139,21038
67146,21046
67152,21052
67161,21061
67162,21061
67163,21061
67170,21070
67171,21070
67172,21070
67185,21085
67186,21085
67187,21085
67191,21091
67192,21091
67193,21091
67195,21095
67200,21100
67201,21100
67202,21100
67203,21101
67208,21108
67209,21108
67210,21108
67211,21110
67216,21116
67227,21127
67228,21127
67229,21127
48066,1965
67248,21148
67249,21148
67250,21148
67252,21152
67253,21152
67259,21159
67263,21163
67264,21164
67265,21164
67266,21166
67267,21167
67268,21167
67271,21171
85166,39065
67284,21184
67285,21184
67286,21184
67287,21187
67293,21193
67294,21193
67302,21202
67314,21214
54913,8812
67344,21244
67362,21262
67363,21262
67367,21267
67377,21277
67378,21277
49459,3357
67380,21279
67385,21285
67386,21285
67387,21285
67388,21288
67399,21299
67402,21302
67403,21302
67404,21302
67409,21309
67428,21328
67433,21333
67436,21336
67437,21336
67438,21336
67440,21340
82239,36139
82240,36139
67463,21363
67467,21367
67468,21367
67473,21373
67474,21373
67477,21377
67482,21382
67483,21382
67484,21383
67503,21403
67510,21410
67521,21421
67522,21421
67523,21421
57896,11795
67532,21432
67535,21435
67536,21435
67537,21437
67538,21437
67539,21437
67541,21441
67542,21441
67550,21450
67551,21450
67563,21463
67564,21463
87721,41621
67583,21483
67584,21483
67590,21490
67591,21490
67598,21498
67599,21498
49496,3394
49497,3397
67613,21513
67614,21513
67615,21513
60423,14323
67635,21535
67636,21535
67637,21535
67648,21548
67649,21548
67650,21548
67653,21553
67654,21553
67670,21570
67671,21570
82277,36177
67692,21592
67693,21592
67694,21594
67695,21594
67700,21600
67701,21600
67702,21600
67703,21603
67707,21607
67708,21607
67709,21607
67716,21616
67717,21616
67725,21625
67726,21625
67731,21631
67740,21640
67741,21640
67743,21643
67746,21646
67757,21657
67760,21660
67761,21660
67781,21681
67782,21681
67789,21689
67795,21695
67796,21695
67797,21695
67801,21701
60453,14353
67814,21714
67818,21718
67819,21718
67821,21721
87764,41662
67836,21736
67837,21736
67838,21736
87765,41663
67840,21740
67841,21740
67842,21740
67858,21758
67859,21758
67860,21758
67878,21778
67881,21781
67882,21781
67883,21781
67886,21786
67887,21786
67888,21786
67893,21793
67894,21793
67911,21811
67912,21812
67913,21813
67914,21813
67915,21813
67921,21821
67922,21821
67927,21827
67928,21827
82321,36221
67949,21849
67950,21849
67951,21849
67954,21854
67968,21868
67969,21868
67970,21868
55124,9024
67980,21880
67981,21880
67982,21880
67985,21885
67986,21885
67987,21885
68009,21909
68010,21909
68011,21911
68012,21911
68013,21911
68015,21915
68017,21917
68018,21918
68019,21918
68052,21952
68055,21955
68056,21955
68057,21955
68059,21959
68060,21959
49573,3471
68067,21967
68069,21969
68071,21971
68083,21983
68084,21983
68088,21988
68102,22002
68105,22005
68124,22024
68126,22026
68127,22026
82352,36252
68133,22033
68137,22037
68138,22037
68139,22038
68140,22038
68144,22044
68150,22050
68151,22050
68152,22050
80831,34729
68169,22069
68170,22069
68171,22069
68172,22072
68174,22074
68175,22074
68197,22097
68198,22097
68199,22097
68203,22103
68204,22103
68208,22108
68209,22108
68210,22108
68212,22112
68213,22112
68214,22114
68215,22115
55061,8960
68261,22161
68262,22161
68263,22163
68264,22163
68265,22165
68266,22165
68267,22165
68273,22173
68293,22193
68294,22194
68301,22201
68302,22201
68319,22219
68320,22219
68322,22222
68323,22222
68329,22229
68330,22229
68331,22229
87848,41747
87849,41747
68345,22245
68351,22251
68352,22251
68353,22251
68369,22269
68370,22269
68371,22269
87854,41754
68387,22287
68388,22287
68394,22294
68395,22294
82397,36296
82398,36298
68420,22320
68421,22320
68422,22322
68425,22325
68426,22325
68435,22335
68436,22335
68439,22339
68440,22339
68450,22350
84114,38013
91752,45651
68458,22358
68459,22358
68460,22360
68461,22360
68462,22360
68465,22365
68466,22365
68467,22367
55103,9003
68477,22377
68478,22377
68484,22384
68485,22384
68489,22389
68490,22389
87874,41773
68509,22409
68510,22409
68512,22412
68513,22412
68538,22438
68539,22438
68540,22438
68548,22448
68553,22453
68554,22454
68555,22454
68560,22460
68561,22460
68562,22460
68563,22463
68564,22463
68565,22463
68599,22499
68600,22499
68601,22501
68602,22502
68608,22508
68613,22513
68614,22513
68615,22513
68616,22516
68617,22516
68618,22518
68619,22518
68620,22518
68645,22545
68646,22545
68647,22545
68667,22567
68672,22572
68673,22572
68674,22574
68675,22574
68682,22582
68683,22583
68684,22583
68692,22592
68695,22595
68696,22595
68698,22598
68699,22598
68709,22609
68710,22609
68711,22611
68712,22611
68713,22611
68716,22616
68717,22616
68718,22616
49683,3582
49687,3585
68764,22664
68765,22665
68766,22665
68795,22695
68796,22696
68797,22696
68798,22696
68800,22700
68801,22700
68809,22709
68810,22709
68816,22716
68817,22716
68818,22716
68822,22722
68823,22722
68829,22729
68830,22729
68831,22729
68832,22731
68838,22738
68839,22738
87934,41833
87935,41833
68867,22767
68868,22767
68869,22767
68877,22777
68879,22779
68880,22779
68881,22779
83153,37053
85220,39120
68903,22803
68904,22803
68906,22806
68907,22806
68914,22814
68915,22814
68916,22814
68925,22825
49717,3617
85221,39120
68937,22837
68938,22837
68955,22855
68956,22855
68960,22860
68961,22860
68962,22860
68966,22866
68967,22867
68968,22867
68976,22876
68977,22876
68979,22879
68980,22879
68981,22879
68986,22886
68987,22886
68988,22886
68993,22893
69005,22905
69020,22920
69029,22929
69035,22935
69046,22946
69051,22951
69052,22952
69053,22952
87970,41870
87971,41870
69079,22979
69080,22979
69081,22979
69085,22985
69086,22985
69090,22990
69091,22990
69092,22990
69093,22993
69094,22993
69099,22999
69100,23000
69101,23000
69102,23000
69103,23003
69104,23003
